Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	16959	199	23731	15700	117	3813	150	1165966	0.3981638812102153
red	1	9402	85	19472	11940	93	3491	142	691117	0.3801095122882975
red	2	9411	110	43345	27621	95	3707	143	514774	0.3892145534481301
red	3	4392	47	7650	4836	27	2045	86	440097	0.38731379144642
red	4	9091	85	21519	13596	83	3018	127	695409	0.38718496369073047
red	5	17183	158	48187	32480	139	5324	242	1094845	0.4026429642852715
red	6	6523	91	11644	11277	33	959	38	447762	0.49199424108895773
red	7	17166	192	66122	53182	123	7423	331	1323540	0.4457687923288406
red	8	14319	141	317744	211998	135	7816	311	588036	0.40019103639129994
red	9	7633	79	96104	73708	42	5791	230	400573	0.4340564859962782
red	10	9902	112	192095	117160	81	6482	279	438224	0.3788459362015166
red	11	15013	178	175284	135664	88	6850	307	737828	0.4362915985952635
red	12	9039	89	191625	108769	63	4475	178	451185	0.36208779136733754
